Source,Compare,Value
1480,20036,0.82549125
1480,20660,0.8170698000000001
1480,20680,0.8421656
1480,20844,0.8179383000000001
1480,20870,0.8073713
1480,20871,0.8051991999999999
1480,20898,0.87113655
1480,20931,0.88425386
1486,12974,0.80708194
1486,13288,0.8355004999999999
1486,15343,0.8073303000000001
1486,19416,0.8221274
1507,4026,0.82838523
1507,6128,0.8050244000000001
1516,10149,0.82687503
1516,12350,0.8083427
1516,17048,0.8004131999999999
1516,18073,0.8057376
1516,18854,0.86318463
1540,5437,0.80473727
1544,5942,0.8243749
1544,8331,0.8240755
1547,3381,0.8224923000000001
1549,17015,0.82125485
1553,5437,0.80473727
1560,8506,0.8180801999999999
1561,13951,0.81118435
1569,8429,0.81182224
1575,8494,0.8133173
1584,17106,0.8134456999999999
1586,8506,0.81434196
1586,13288,0.8062536
1586,14370,0.8121439
1586,20515,0.84987277
1587,17004,0.8230761999999999
1588,6113,0.80242455
1588,13331,0.8210438
1588,17004,0.8466959000000001
1588,18854,0.81681746
1591,8957,0.8887724
1591,9957,0.8389652
1591,12631,0.80647725
1591,13425,0.8067101999999999
1591,19150,0.833781
1591,19261,0.8082592
1591,19311,0.83635426
1591,19579,0.8093095
1591,19996,0.82462996
1594,8506,0.8371469000000001
1594,13331,0.8066105
1594,13951,0.80528915
1597,16487,0.82084244
1605,8429,0.81182224
1606,14084,0.80043674
1609,16487,0.817906
1614,13360,0.80493444
1617,4362,0.80669343
1622,15048,0.8156793000000001
1629,5420,0.8098975
1630,8559,0.80340886
1676,5437,0.8009166999999999
1695,5895,0.8220472
1708,15492,0.80940014
1724,9528,0.8380919
1757,11003,0.8046438
1757,11018,0.80925804
1757,19338,0.8132510000000001
1757,19464,0.8034313
1757,20842,0.8212226999999999
1757,20887,0.8110975
1774,18680,0.8110426
1776,387,0.80127656
1776,8506,0.83791625
1776,11035,0.8003024000000001
1778,7559,0.8140055
1780,7210,0.82895684
1780,8616,0.82895684
1791,14328,0.8685178
1804,14284,0.8146669
1810,17584,0.82163817
1810,17595,0.8054222
1810,17801,0.82163817
1811,14151,0.8071
1815,79,0.80104935
1815,2395,0.83543646
1815,2444,0.81050265
1815,2745,0.800868
1815,4212,0.8385142
1815,6083,0.8546991
1815,6102,0.8334949
