Source,Compare,Value
688,13992,0.81433034
705,11012,0.8525734
712,2379,0.82163817
712,14402,0.82163817
720,2676,0.8077438
727,4488,0.83349514
729,11713,0.8192865
729,12359,0.8149436
729,13992,0.8149436
743,10023,0.8214328000000002
743,11713,0.84133625
743,12359,0.8314271999999999
743,13992,0.8314271999999999
748,2410,0.8134402
748,11553,0.8014281
748,15984,0.80491275
755,5267,0.82809126
756,3101,0.8530530999999999
756,3105,0.8530530999999999
756,10949,0.8266698
756,16617,0.80454004
763,5379,0.83488953
769,4488,0.8025041
769,5267,0.8401896999999999
773,10023,0.8038899
777,2502,0.80634737
777,2672,0.80634737
777,3038,0.84407055
777,4488,0.84508145
777,5287,0.8469061999999999
777,5600,0.8469061999999999
793,10455,0.8160653
794,2854,0.81479406
794,11007,0.85788876
816,2671,0.82650816
816,4488,0.8579403
816,5287,0.8384928
816,5600,0.8384928
823,3293,0.8136018
830,3293,0.82629037
836,11774,0.84299237
836,14940,0.80450785
840,13043,0.80059284
840,15973,0.81844264
843,5267,0.85732985
847,10023,0.8189841999999999
848,8853,0.82018954
848,13744,0.8001034
854,2671,0.805937
854,4488,0.8531476
854,5287,0.8275953000000001
854,5600,0.8275953000000001
854,12365,0.80256695
855,10023,0.8177307
869,2671,0.80754405
869,4488,0.8151706
871,14745,0.81241095
872,10023,0.8080552
891,440,0.80138785
892,10023,0.8017731
895,7224,0.8062127
895,15968,0.8254495000000001
895,15983,0.80325764
897,2410,0.81315315
897,2430,0.8070579999999999
897,15968,0.8313036
902,10023,0.8216392
902,11713,0.8329563
902,12359,0.8326758
902,13992,0.8326758
903,3038,0.8332143
907,15783,0.8507627000000001
920,10896,0.81713253
922,10023,0.8546819
929,2235,1.0
929,2976,1.0
929,2977,0.84296924
929,2978,0.8465733
929,4316,0.8276245000000001
929,11694,0.9249332
929,13916,0.8256916
929,14600,0.8378593000000001
936,14914,0.8378144000000001
940,9716,0.8384305000000001
950,6651,0.8020868
970,2163,0.81957775
977,9580,0.8207134
977,12109,0.8462719999999999
996,2379,0.82163817
996,14402,0.82163817
998,1329,0.8083857
998,14234,0.81210554
1007,6533,0.800299
1015,14601,0.8344841999999999
1028,11675,0.81336206
1032,3846,0.8074376
1032,11095,0.83700377
1048,15857,0.8246927
1049,5643,0.80050045
1050,12244,0.80010283
1050,15602,0.8161552
1050,17081,0.80969024
1060,2410,0.81227946
1060,15984,0.80128
1062,16226,0.80435383
1072,9933,0.80639404
1091,15894,0.80402
1104,13063,0.86450183
1105,6704,0.82702047
1105,12721,0.81219155
1115,2821,0.80046064
1116,2520,0.812584
1116,12563,0.8093667
1116,15837,0.8052885000000001
1128,2450,0.8373646999999999
1128,3733,0.82114756
1131,15663,0.8413315999999998
1135,2887,0.8054151999999999
1135,14741,0.8044213000000001
1137,8059,0.8321685999999999
1145,9961,0.83146954
1145,10589,0.8002772
1145,16604,0.8201099000000001
1146,15694,0.80467665
1157,6030,0.8051429
1157,9895,0.8160586
1167,821,0.81480217
1196,10126,0.82693666
1196,12779,0.8520190000000001
1255,3308,0.82511264
1255,6035,0.8073549
1255,10682,0.831594
1255,12721,0.80867654
1255,12782,0.8103022
1255,12982,0.82864743
1255,14914,0.81275785
1255,15783,0.8587239999999999
1287,2395,0.8099239
1287,3768,0.80245864
1287,6533,0.81341416
1289,13437,0.80359507
1294,5348,0.8011279
1296,2481,0.84283686
1296,3733,0.81946725
1296,4561,0.8056205
1300,2854,0.8103206000000001
1300,6533,0.826908
1300,15694,0.80229384
1310,3733,0.81481093
1310,4561,0.8147463
1310,4658,0.8465314
1310,4843,0.8465314
1319,16063,0.8226030000000001
1331,7063,0.8186091999999999
1349,2817,0.80531603
1349,4535,0.81971335
1349,7183,0.80994344
1349,7280,0.80277455
1349,8539,0.8103395
1357,2676,0.8191495
1360,2084,0.80315214
1360,2854,0.8287607
1360,4104,0.82075596
1360,4532,0.80345297
1375,3332,0.8292208000000001
1377,3890,0.80424416
1382,6293,0.8121917
1384,2806,0.8252265999999999
1392,5351,0.835398
1396,465,0.80634016
1396,5883,0.8680275
1396,6134,0.8192200999999999
1402,2837,0.81665933
1402,15973,0.81265646
1402,16255,0.80087197
1406,2854,0.81166196
1406,6293,0.8155456
1406,9812,0.80749655
1408,2854,0.81997204
1415,14437,0.81388086
1419,2819,0.810515
1419,2821,0.8362588
1419,2837,0.80183375
1419,10920,0.82284766
1419,13431,0.81457466
