Source,Compare,Value,Val Type 2,Val Type 3
847,15298,0.8276036326451529,0.851683708489846,0.1111111111111111
847,17106,0.8166257982010175,0.8453176546754082,0.0
851,17004,0.8137620161257478,0.7947257123950623,0.0
857,15298,0.8101377186575115,0.8231806289449477,0.125
867,15945,0.8055718302244681,0.8316071815642959,0.0
872,15298,0.8009212718581878,0.8207153191624293,0.125
876,17250,0.8174928239157633,0.8349643071142514,0.08333333333333333
879,17106,0.803593574953378,0.8259066111412267,0.0
880,17886,0.8114264306375352,0.8258478360742755,0.1111111111111111
898,17674,0.8026172584856774,0.8227914384736437,0.0
905,15298,0.80413904133755,0.8170694380067514,0.125
906,14585,0.8241797312239668,0.8458170285917103,0.09090909090909093
908,14277,0.8248364819706037,0.8313960001878814,0.15384615384615385
912,14277,0.8921427575419085,0.8970621512158067,0.25
924,14585,0.8191895186852042,0.8315833103801189,0.08333333333333333
932,17674,0.8085379545984849,0.8274356428851162,0.0
934,17886,0.8047107235295352,0.8210001089138963,0.1111111111111111
945,15298,0.8157189083648808,0.8417243030746967,0.1
973,14585,0.8062611141542719,0.8266205941511556,0.09090909090909093
991,15428,0.8006810490820809,0.8005934245016597,0.05263157894736842
1004,15298,0.8025367006505655,0.8257825631119435,0.1111111111111111
1005,14585,0.8251531613384149,0.844089151018355,0.0
1030,14585,0.8062611141542719,0.8266205941511556,0.09090909090909093
1047,14585,0.8022623870680243,0.8299836192637373,0.0
1055,14585,0.8165460877244691,0.8412290083836078,0.07692307692307693
1055,15298,0.8133775295709931,0.8373164780221733,0.1111111111111111
1185,22122,0.8309238718226976,0.8141089550608954,0.14285714285714285
1192,21760,0.853218526593841,0.870087893506873,0.3333333333333333
1196,4130,0.8295202565178421,0.832433431258138,0.16666666666666666
1222,18773,0.8246344103786908,0.824552910329009,0.2857142857142857
1230,18773,0.8075816008724576,0.8075983321987118,0.2857142857142857
1230,22122,0.8087707541465072,0.7937528267753261,0.14285714285714285
1239,22122,0.8001000473282113,0.7745779348149056,0.14285714285714285
1246,4130,0.8603132949734107,0.8624534364525311,0.16666666666666666
1302,15298,0.814179533755307,0.8319236904840449,0.16666666666666666
1350,17106,0.8021304997803044,0.8160071389954778,0.0
1419,10232,0.8255041970889858,0.8301654105536664,0.1
1424,10232,0.8131636403888669,0.8251290203229744,0.1
