Source,Compare,Value,Val Type 2,Val Type 3
6982,17004,0.8164572329460862,0.7836762785680793,0.05882352941176471
7007,1008,0.8108032724367421,0.8123622954204988,0.09090909090909093
7048,6676,0.8049179613424784,0.793206422346182,0.25
7080,15192,0.8113829589297307,0.8114297554900946,0.1
7183,15751,0.8152932847434821,0.807778569119235,0.0625
7215,16794,0.8056093034013924,0.7995561601086684,0.1111111111111111
7216,15856,0.8029187119626022,0.8001922081624759,0.08333333333333333
7264,10718,0.8043846665180856,0.7981860985037336,0.16666666666666666
7268,10348,0.8252314087547236,0.8324796945750828,0.25
7268,16803,0.8073472503429107,0.8153387174612363,0.13333333333333333
7269,34,0.8328925933479059,0.8327703111515888,0.038461538461538464
7269,639,0.8277464028912285,0.8266495515807413,0.028571428571428567
7269,2045,0.8128829792779575,0.8128175559157074,0.09090909090909093
7269,2099,0.8095482164750272,0.8020659236774009,0.03448275862068965
7269,2113,0.8337486322886261,0.8280756109664831,0.038461538461538464
7269,2148,0.8556148549820137,0.8538252678091537,0.16129032258064516
7269,2153,0.8408908854161146,0.8395049956983149,0.06666666666666668
7269,2836,0.8116910582029527,0.803257273270619,0.060606060606060615
7269,5436,0.8249640756523551,0.8249611558181128,0.03333333333333333
7269,8200,0.8424064352133519,0.8248040601090849,0.03571428571428571
7269,8254,0.819549940737842,0.817273015976927,0.06666666666666668
7269,11020,0.810897514907843,0.8078584234384523,0.07407407407407407
7269,13117,0.8753338523962143,0.8737550119429284,0.21428571428571427
7269,19248,0.8304658473797882,0.8118042389193528,0.06666666666666668
7269,19255,0.8378157486598979,0.8378277108396256,0.07142857142857142
7269,19310,0.8083307001958934,0.798358262398703,0.0
7269,19338,0.8461080077340528,0.8455515285416024,0.07894736842105263
7269,19366,0.8735367620397015,0.8731946306910502,0.06521739130434782
7269,19411,0.8142108562294297,0.8125311364014474,0.04
7269,19461,0.8535232984867416,0.8527246240646393,0.0975609756097561
7269,19475,0.8480146745096011,0.8479748525819252,0.07692307692307693
7269,19768,0.8025565442354176,0.7977829086186861,0.06896551724137931
7269,19786,0.8268670868885214,0.8266074456795208,0.08333333333333333
7269,19995,0.8399127515646819,0.8399252904832684,0.10344827586206896
7269,20024,0.8577439536097892,0.8444479402778242,0.10714285714285714
7269,20680,0.8051344824379834,0.7937824739117532,0.038461538461538464
7269,20844,0.8079748142283153,0.7958067738289675,0.03225806451612903
7269,20871,0.8064697683060026,0.8062330584051357,0.054054054054054064
7269,20898,0.8386903729126479,0.8342066820378391,0.04
7269,20931,0.8505605164626364,0.8504479182657698,0.037037037037037035
7310,4026,0.8189455580607768,0.8187645156907886,0.1
7323,12350,0.8994882495407701,0.8952673891102957,0.6666666666666666
7323,18854,0.8005259869034028,0.8015915196667422,0.1
7324,18854,0.813861864505897,0.8013235008574456,0.06666666666666668
7325,19194,0.8000017126526641,0.7908756087999206,0.2
7379,10354,0.8020735400217232,0.7930167339150039,0.07142857142857142
7431,6534,0.8116441185000235,0.8056289306499045,0.07142857142857142
7432,17004,0.8227118366377495,0.8224366394913933,0.10526315789473684
7437,9957,0.8065608477038451,0.8160829985207962,0.05555555555555555
7437,19150,0.8123123521094942,0.8194936547571571,0.05
7441,8506,0.8082498060790878,0.8023047476603467,0.15384615384615385
7445,16487,0.8067507112599218,0.8041030550375723,0.023809523809523808
7485,4259,0.8057116027001913,0.8170713483660628,0.09090909090909093
7613,20020,0.8077527874169763,0.7920624668955427,0.16666666666666666
7673,11018,0.8038873179437805,0.7980140569503357,0.15384615384615385
7673,16796,0.8083943440143689,0.7945776316636731,0.125
7673,20842,0.8489953186741417,0.8508887875651334,0.15384615384615385
7674,19338,0.8008983095333084,0.7869870384099991,0.12903225806451613
7701,15298,0.8006481760963909,0.7735204704444821,0.0
7702,8506,0.8033541770606608,0.8040088057241003,0.06666666666666668
7708,4895,0.823890360589524,0.8415871571854198,0.1
7717,14083,0.8325525213353302,0.8050539599983578,0.1
7729,14328,0.8240192457946526,0.8240676167465469,0.3333333333333333
7730,14328,0.8428260623844253,0.8401015775070588,0.2307692307692308
7765,19311,0.8030543082014165,0.8119338135244348,0.18181818181818185
7907,6379,0.8099229530134627,0.7860897194071791,0.125
7966,14328,0.8123089357519574,0.8143964441616878,0.3
7981,14284,0.8068225046003145,0.798959850624202,0.06666666666666668
8020,20824,0.8321184035675792,0.8238407241144947,0.3333333333333333
8042,387,0.8013934563232393,0.8016995835502537,0.16666666666666666
8043,17004,0.8054420994598055,0.7693180575165117,0.0
8044,13331,0.8032909517004317,0.8012519181369963,0.0
8044,17004,0.8390198107247477,0.8390405147407471,0.05
8103,19329,0.8260359048315122,0.8536949361713091,0.25
8126,4895,0.8039775563894038,0.8094995514553558,0.0625
8164,15814,0.8263028583641775,0.8273184959029101,0.26666666666666666
8165,15814,0.8107164218995705,0.7581178042698629,0.13333333333333333
8169,1240,0.8194035361943791,0.7827384716825998,0.15384615384615385
8175,17669,0.8279465479658871,0.82422135164197,0.09090909090909093
8236,3901,0.8139958106301606,0.8124531553979264,0.4
8251,21965,0.8314138861066055,0.8115362863297316,0.14285714285714285
8251,21989,0.8382582353094393,0.8477492790981693,0.25
8265,12326,0.8000193691718104,0.7774483785846928,0.08333333333333333
8269,16487,0.81228042479449,0.8191481293565699,0.0
8296,22277,0.8637889027267881,0.8648967547867243,0.6666666666666666
8377,5216,0.8073659767962339,0.8028596682518401,0.03225806451612903
8377,19670,0.8162065680941445,0.8090125355438307,0.09090909090909093
8424,17250,0.8160518314980953,0.7718304095065366,0.15384615384615385
8438,21666,0.8161127648468346,0.8555803290809563,0.043478260869565216
8439,8957,0.8285248441801117,0.8377546163849027,0.2222222222222222
8446,11018,0.8536405517168569,0.8512241362935796,0.1111111111111111
8446,12085,0.8107636184515159,0.7940501494818681,0.0
8446,20842,0.8025583597473083,0.7902900007824655,0.1111111111111111
8490,17004,0.8164572329460862,0.7836762785680793,0.05882352941176471
8535,1,0.8148834216010795,0.8147305761206408,0.2222222222222222
8549,15856,0.8029187119626022,0.8001922081624759,0.08333333333333333
8553,17048,0.8082742734611994,0.7953498220707186,0.03448275862068965
8568,15192,0.8113829589297307,0.8114297554900946,0.1
8599,34,0.8175358005606731,0.8131805802653913,0.0
8599,639,0.8161424926674582,0.8023776258039614,0.0
8599,2045,0.8004843643076148,0.7957827002081086,0.07407407407407407
8599,2153,0.8231156864720319,0.8222997789132616,0.08695652173913042
8599,5436,0.8226638123646429,0.8169777988479725,0.0
8599,8254,0.8070272324610296,0.7893800431273801,0.04166666666666666
8599,10446,0.8023709749223153,0.8049772738275747,0.0
8599,11003,0.8067984921095742,0.7855319121383885,0.08
8599,13117,0.8715416162237608,0.8705721088950941,0.2272727272727273
8599,19248,0.8199792763686916,0.7697258435103908,0.05128205128205128
8599,19255,0.8358153379226968,0.8295074998245412,0.045454545454545456
8599,19338,0.8413936418294684,0.8387306800683835,0.0625
8599,19366,0.8308557146538404,0.8275155540793937,0.05
8599,19400,0.8053857865465401,0.7924452248069295,0.0
8599,19411,0.8210711539963833,0.8207338720258646,0.0
8599,19413,0.8031406214188395,0.7923053194085137,0.0
8599,19461,0.8200024910402517,0.8180997001676035,0.08571428571428573
8599,19475,0.8116717822399692,0.8066126516715175,0.05
8599,19656,0.8054729904957318,0.8033624447596729,0.0
8599,19768,0.8107639879415406,0.8127784901297957,0.043478260869565216
8599,19786,0.8063735269007118,0.8028746394637175,0.05555555555555555
8599,19995,0.8417951719223647,0.8351043807492614,0.08695652173913042
8599,20024,0.8369403201634015,0.8387841337402931,0.09090909090909093
8599,20844,0.816258432618864,0.8185857848639314,0.0
8599,20898,0.8049851516920024,0.7818872202444833,0.0
